Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
neel-nazar-evil-eye-rakhi-trio,Neel Nazar Evil Eye Rakhi Trio,"<p>Delisha Karigari’s Neel Nazar Evil Eye Rakhi Trio features three distinctive blue nazariya designs embellished with pearls, colourful beads and sparkling accents. A contemporary Rakhi set for 3 brothers, combining traditional nazar symbolism with modern festive styling for Raksha Bandhan.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Nazariya Collection,"Festive, Gift, Handcrafted, Nazariya, Nazariya Collection, Rakhi, Set",TRUE,Title,Default Title,DK-051,100,shopify,20,deny,manual,699.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579173/051_2_kjpb9y.png,1,Neel Nazar Evil Eye Rakhi Trio,Neel Nazar Evil Eye Rakhi Trio | Delisha Karigari,"A stylish set of 3 Evil Eye Rakhis featuring blue nazariya motifs, pearls, beads and sparkling stone detailing designed as a symbol of love and protection.",active
neel-nazar-evil-eye-rakhi-trio,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579173/051_3_c2zl4b.png,2,Neel Nazar Evil Eye Rakhi Trio - Image 2,,,
neel-nazar-evil-eye-rakhi-trio,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579172/051_1_xr1pve.png,3,Neel Nazar Evil Eye Rakhi Trio - Image 3,,,
crystal-bloom-pearl-bhaiya-bhabhi-rakhi-lumba-combo,Crystal Bloom Pearl Bhaiya Bhabhi Rakhi Lumba Combo,"<p>Celebrate Raksha Bandhan with Delisha Karigari’s Crystal Bloom Pearl Bhaiya Bhabhi Rakhi lumba Set, beautifully designed with statement crystal motifs, pearl detailing and an elegant pearl Lumba for Bhabhi. A sophisticated choice for those looking for a premium designer Bhaiya Bhabhi Rakhi Lumba set online.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Royal Pearl Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Lumba, Pearl, Rakhi, Royal Pearl Collection, Set",TRUE,Title,Default Title,DK-052,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579173/052e_2_txvzvo.png,1,Crystal Bloom Pearl Bhaiya Bhabhi Rakhi Lumba Combo,Crystal Bloom Pearl Bhaiya Bhabhi Rakhi Lumba Combo | Delisha Karigari,"An elegant Bhaiya Bhabhi Rakhi Lumba set featuring a sparkling crystal floral design, lustrous pearls and graceful pearl tassels for a luxurious Raksha Bandhan ",active
crystal-bloom-pearl-bhaiya-bhabhi-rakhi-lumba-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579173/052e_3_odycur.png,2,Crystal Bloom Pearl Bhaiya Bhabhi Rakhi Lumba Combo - Image 2,,,
crystal-bloom-pearl-bhaiya-bhabhi-rakhi-lumba-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579173/052e_1_b8ylmi.png,3,Crystal Bloom Pearl Bhaiya Bhabhi Rakhi Lumba Combo - Image 3,,,
shubh-kundan-rakhi-duo-kundan-pearl-rakhi-set-of-2-for-brother,Shubh Kundan Rakhi Duo | Kundan Pearl Rakhi Set of 2 for Brother,"<p>Celebrate Raksha Bandhan with Delisha Karigari’s Shubh Kundan Rakhi Duo, a traditional Rakhi set of 2 for brothers crafted with sparkling Kundan-style detailing, pearls and festive golden beads. An elegant choice for gifting brothers and celebrating the sacred bond of Raksha Bandhan.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Festive Rakhi Collection,"Festive, Festive Rakhi Collection, Gift, Handcrafted, Kundan, Pearl, Rakhi, Set",TRUE,Title,Default Title,DK-053,100,shopify,20,deny,manual,599.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579174/053_2_darb28.png,1,Shubh Kundan Rakhi Duo | Kundan Pearl Rakhi Set of 2 for Brother,Shubh Kundan Rakhi Duo | Kundan Pearl Rakhi Set of 2 for Brother | Del,"Traditional set of 2 Rakhis featuring elegant Kundan-style stones, pearls, golden beads and auspicious red threads.",active
shubh-kundan-rakhi-duo-kundan-pearl-rakhi-set-of-2-for-brother,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579174/053_4_stwhgn.png,2,Shubh Kundan Rakhi Duo | Kundan Pearl Rakhi Set of 2 for Brother - Image 2,,,
shubh-kundan-rakhi-duo-kundan-pearl-rakhi-set-of-2-for-brother,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785579173/053_1_gmefwk.png,3,Shubh Kundan Rakhi Duo | Kundan Pearl Rakhi Set of 2 for Brother - Image 3,,,
krishna-bansuri-rakhi-lumba-set,Krishna Bansuri Rakhi Lumba Set,"<p>Celebrate the sacred bond of Raksha Bandhan with Delisha Karigari’s Krishna Bansuri Rakhi Lumba Set. Inspired by Lord Krishna playing his beloved bansuri (flute), this beautifully detailed set combines traditional symbolism with elegant festive craftsmanship. Pearl accents, rich blue beads, golden detailing and an intricately designed Krishna-inspired motif create a graceful Rakhi and Lumba set for Bhaiya Bhabhi. A meaningful choice for those who love Krishna-inspired and divine Rakhi designs.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Blessed Collection,"Bhaiya Bhabhi, Blessed Collection, Festive, Gift, Handcrafted, Krishna, Lumba, Rakhi, Set",TRUE,Title,Default Title,DK-1010,100,shopify,20,deny,manual,999.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785664761/101_2_plfpnn.png,1,Krishna Bansuri Rakhi Lumba Set,Krishna Bansuri Rakhi Lumba Set | Delisha Karigari,"A divine Krishna Bansuri Rakhi Lumba Set featuring a Krishna-flute motif, pearls, blue beads and intricate golden detailing.",active
krishna-bansuri-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785664761/101_3_mjvdfi.png,2,Krishna Bansuri Rakhi Lumba Set - Image 2,,,
krishna-bansuri-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785664762/101_4_ynfjd9.png,3,Krishna Bansuri Rakhi Lumba Set - Image 3,,,
krishna-bansuri-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785664761/101_1_z37gza.png,4,Krishna Bansuri Rakhi Lumba Set - Image 4,,,
peacock-blossom-bhaiya-bhabhi-rakhi-lumba-set,Peacock Blossom Bhaiya Bhabhi Rakhi Lumba Set,"<p>Celebrate the bond of Raksha Bandhan with the Peacock Blossom Bhaiya Bhabhi Rakhi Lumba Set by Delisha Karigari. Designed with beautiful peacock-inspired motifs, sparkling stones, pearls and colourful beads, this set includes a designer Rakhi for Bhaiya and an elaborate Lumba for Bhabhi. Its traditional yet vibrant design makes it ideal for festive gifting and Raksha Bandhan celebrations.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Festive Rakhi Collection,"Bhaiya Bhabhi, Festive, Festive Rakhi Collection, Gift, Handcrafted, Lumba, Peacock, Rakhi, Set",TRUE,Title,Default Title,DK-1020,100,shopify,20,deny,manual,999.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1785664762/102_2_zytitl.png,1,Peacock Blossom Bhaiya Bhabhi Rakhi Lumba Set,Peacock Blossom Bhaiya Bhabhi Rakhi Lumba Set | Delisha Karigari,Celebrate the bond of Raksha Bandhan with the Peacock Blossom Bhaiya Bhabhi Rakhi Lumba Set by Delisha Karigari. Designed with beautiful peacock-inspired motifs,active
peacock-blossom-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785664762/102_3_aqynip.png,2,Peacock Blossom Bhaiya Bhabhi Rakhi Lumba Set - Image 2,,,
peacock-blossom-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1785664761/102_1_mvesuo.png,3,Peacock Blossom Bhaiya Bhabhi Rakhi Lumba Set - Image 3,,,
mayur-shringar-bhaiya-bhabhi-rakhi-lumba-set,Mayur Shringar Bhaiya Bhabhi Rakhi Lumba Set,"<p>Celebrate Raksha Bandhan with this elegant Bhaiya Bhabhi Peacock Feather Rakhi Lumba Set from Delisha Karigari. Featuring intricate peacock-inspired detailing, traditional Mauli threads, pearls and colourful embellishments, this Rakhi and Lumba combination brings together traditional Indian craftsmanship and festive elegance. A beautiful Raksha Bandhan gift set for Bhaiya and Bhabhi, thoughtfully designed for a memorable celebration.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Festive Rakhi Collection,"Bhaiya Bhabhi, Festive, Festive Rakhi Collection, Gift, Handcrafted, Lumba, Peacock, Rakhi, Ring, Set",TRUE,Title,Default Title,DK-580,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871873/058_3_irk1yq.png,1,Mayur Shringar Bhaiya Bhabhi Rakhi Lumba Set,Mayur Shringar Bhaiya Bhabhi Rakhi Lumba Set | Delisha Karigari,"Elegant Bhaiya Bhabhi Rakhi Lumba set featuring a beautiful peacock-inspired design, Mauli threads, pearls and detailed festive embellishments.",active
mayur-shringar-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871873/058_2_phhdqy.png,2,Mayur Shringar Bhaiya Bhabhi Rakhi Lumba Set - Image 2,,,
mayur-shringar-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871875/058_4_urohjo.png,3,Mayur Shringar Bhaiya Bhabhi Rakhi Lumba Set - Image 3,,,
mayur-shringar-bhaiya-bhabhi-rakhi-lumba-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871880/058_1_ovu8pl.png,4,Mayur Shringar Bhaiya Bhabhi Rakhi Lumba Set - Image 4,,,
basant-phool-nazariya-bhaiya-bhabhi-rakhi-ring-set,Basant Phool Nazariya Bhaiya Bhabhi Rakhi Ring Set,"<p>Celebrate Raksha Bandhan with the Peeli Phool Nazariya Rakhi Ring Set from Delisha Karigari. Designed with a striking yellow floral centre, traditional pearls, blue nazariya beads and sparkling embellishments, this Bhaiya Bhabhi Rakhi set brings together festive charm and contemporary elegance. The coordinated Rakhi, Lumba and matching ring make it a beautiful and thoughtful Raksha Bandhan gift for your brother and bhabhi.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Nazariya Collection,"Bhaiya Bhabhi, Festive, Gift, Handcrafted, Nazariya, Nazariya Collection, Rakhi, Ring, Set",TRUE,Title,Default Title,DK-59YELLOW,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871879/059y_3_rtu6aq.png,1,Basant Phool Nazariya Bhaiya Bhabhi Rakhi Ring Set,Basant Phool Nazariya Bhaiya Bhabhi Rakhi Ring Set | Delisha Karigari,"A vibrant Bhaiya Bhabhi Rakhi Ring Set featuring a beautiful yellow flower, blue evil-eye beads, pearl detailing and a matching nazariya ring.",active
basant-phool-nazariya-bhaiya-bhabhi-rakhi-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871877/059y_2_r01jud.png,2,Basant Phool Nazariya Bhaiya Bhabhi Rakhi Ring Set - Image 2,,,
basant-phool-nazariya-bhaiya-bhabhi-rakhi-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871879/059y_4_pt32fr.png,3,Basant Phool Nazariya Bhaiya Bhabhi Rakhi Ring Set - Image 3,,,
basant-phool-nazariya-bhaiya-bhabhi-rakhi-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871877/059y_1_mwwxof.png,4,Basant Phool Nazariya Bhaiya Bhabhi Rakhi Ring Set - Image 4,,,
pink-bloom-nazariya-rakhi-ring-set,Pink Bloom Nazariya Rakhi Ring Set,"<p>Celebrate Raksha Bandhan with the Pink Bloom Nazariya Rakhi Ring Set from Delisha Karigari. This elegant Bhaiya Bhabhi Rakhi set combines vibrant pink floral detailing with traditional nazariya/evil-eye motifs, lustrous pearls, colourful beads and intricate embellishments. The set includes a beautifully detailed Rakhi, matching Lumba and coordinated nazariya ring, making it a stylish and meaningful Raksha Bandhan gift.</p>",Delisha Karigari,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping,Nazariya Collection,"Festive, Gift, Handcrafted, Nazariya, Nazariya Collection, Rakhi, Ring, Set",TRUE,Title,Default Title,DK-59BLUEPINK,100,shopify,20,deny,manual,899.00,,TRUE,TRUE,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871873/059blue_ee_flower_pink_3_qhcqdd.png,1,Pink Bloom Nazariya Rakhi Ring Set,Pink Bloom Nazariya Rakhi Ring Set | Delisha Karigari,"A beautiful pink floral Nazariya Rakhi Ring Set featuring evil-eye motifs, pearl detailing, sparkling embellishments and a matching ring.",active
pink-bloom-nazariya-rakhi-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871873/059blue_ee_flower_pink_2_dukcew.png,2,Pink Bloom Nazariya Rakhi Ring Set - Image 2,,,
pink-bloom-nazariya-rakhi-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871875/059blue_ee_flower_pink_4_yfvyk7.png,3,Pink Bloom Nazariya Rakhi Ring Set - Image 3,,,
pink-bloom-nazariya-rakhi-ring-set,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/m5yixuhw/image/upload/v1786871873/059blue_ee_flower_pink_1_gxgw5s.png,4,Pink Bloom Nazariya Rakhi Ring Set - Image 4,,,
